,Nombre,Edad,Fecha de nacimiento,Liga,Temporada,Posicion,Club,Nacionalidad,Calificacion,Minutos jugados totales,Minutos jugados local,Minutos jugados visita,Apariciones totales,Apariciones local,Apariciones visita,Goles totales,Goles local,Goles visita,Asistencias totales,Asistencias local,Asistencias visita,Goles penal,Penales errados,Partidos sin gol recibido totales,Partidos sin gol recibido local,Partidos sin gol recibido visita,Goles permitidos totales,Goles permitidos local,Goles permitidos visita,Tarjetas amarillas totales,Tarjetas rojas totales,Participacion en goles x cada 90 min totales,Asistencias x cada 90 min totales,Goles x cada 90 min totales,Goles x cada 90 min local,Goles x cada 90 min visita,Minutos x gol totales,Goles permitidos x cada 90 min totales,Minutos x goles permitidos totales,Minutos x partido,Minutos x tarjeta totales,Minutos x asistencia totales,Tarjetas x cada 90 min totales,Calificacion,Asistencias x partido totales,Pases x cada 90 minutos totales,Pases x juego totales,Pases totales,Pases completos x partidos totales,Pases completos totales,Pases completos x cada 90 min,Pases clave x partido totales,Pases clave totales,Centros x partido totales,Entradas x cada 90 min totales,Entradas x partido totales,Entradas totales,Balones perdidos x partido totales,Atajadas x partido totales,Intercepciones x partido totales,Regates existosos x partido totales,Tiros recibidos x partido totales,Tiros x goles anotados totales,Tiros x cada 90 min totales,Tiros desviados x partido totales,Regates x partido totales,Tiros puerta x partido totales,Duelos aereos ganados x partidos totales,Tiros totales,Tiros x partido totales,Tiros a puerta totales,Tiros puerta x cada 90 min totales,Tiros desviados totales,Tiros desviados x cada 90 min totales,Intercepciones totales,Intercepciones x cada 90 min totales,Centros totales,Centros x cada 90 min totales,Pases clave x cada 90 min totales,Regates totales,Regates x cada 90 min totales,Regates existosos totales,Regates existosos x cada 90 min totales,Porcentaje regates existosos totales,Atajadas totales,Atajadas x cada 90 min totales,Tiros recibidos totales,Tiros recibidos x cada 90 min totales,Porcentaje atajadas totales,Porcentaje pases completos totales,Porcentaje tiros precisos totales,Duelos regate perdidos x cada partido totales,Duelos regate perdidos x cada 90 min totales,Duelos regate perdidos totales,Penales anotados totales,Penales errados totales,Bloqueos x partido totales,Bloqueos x cada 90 min totales,Bloqueos totales,Despejes x partido totales,Despejes x cada 90 min totales,Despejes totales,Penales cometidos totales,Penales cometidos x cada 90 min totales,Penales cometidos x partido totales,Penales atajados totales,Penales ejecutados totales,Tiros a poste totales,Tiros a poste x partido totales,Tiros a poste x cada 90 min totales,Punetazos totales,Punetazos x partido totales,Punetazos x cada 90 min totales,Offsides x cada 90 min totales,Offsides x partido totales,Offsides totales,Penales generados totales,Tasa tiros/goles totales,Faltas recibidas totales,Faltas recibidas x partido totales,Faltas recibidas x cada 90 min totales,Faltas cometidas x cada 90 min totales,Faltas cometidas x partido totales,Faltas cometidas totales,Duelos aereos ganados totales,Duelos aereos ganados x cada 90 min totales,Duelos x cada 90 min totales,Duelos x partido totales,Duelos totales,Duelos ganados totales,Duelos ganados x cada 90 min totales,Duelos ganados x partido totales,Porcentaje duelos ganados totales,Balones perdidos totales,Balones perdidos x cada 90 min totales,Porcentaje centros precisos totales,Centros precisos totales,Centros precisos x partido totales,Centros precisos x cada 90 min totales,Hattricks totales
43,Antonee Robinson,26,08/08/1997,Premier League,2022/2023,Defender,Fulham,USA,6.82,3089,1620,1469,35,18,17,0,0,0,1,1,0,0,0,9,3,6,40,24,16,8,0,0.03,0.03,0.0,0.0,0.0,0,1.17,77,88,386,3089,0.23,6.82,0.03,40.78,39.97,1359.0,30.88,1050.0,31.51,0.59,20.0,3.71,1.71,1.68,57.0,0.59,0.0,1.47,1.06,0.0,0.0,0.09,0.09,1.79,0.0,1.06,3.0,0.09,0.0,0.0,3.0,0.09,50.0,1.5,126.0,3.78,0.6,61.0,1.83,36.0,1.08,59.02,0.0,0.0,0.0,0.0,0.0,77.26,0.0,0.59,0.6,20.0,0.0,0.0,0.38,0.39,13.0,2.03,2.07,69.0,1.0,0.03,0.03,0.0,0.0,1.0,0.03,0.03,0.0,0.0,0.0,0.09,0.09,3.0,0.0,0.0,21.0,0.62,0.63,0.99,0.97,33.0,36.0,1.08,8.22,8.06,274.0,150.0,4.5,4.41,54.74,20.0,0.6,25.4,32.0,0.94,0.96,0.0
51,Ashley Young,38,09/07/1985,Premier League,2022/2023,Defender,Aston Villa,England,6.67,2038,984,1054,29,14,15,1,0,1,0,0,0,0,0,9,5,4,27,11,16,7,0,0.04,0.0,0.04,0.0,0.09,2038,1.19,75,70,291,0,0.31,6.67,0.0,42.31,33.03,958.0,25.62,743.0,32.81,0.48,14.0,1.45,2.25,1.76,51.0,0.17,0.0,0.76,0.21,0.0,8.0,0.35,0.17,0.55,0.1,0.45,8.0,0.28,3.0,0.13,5.0,0.22,22.0,0.97,42.0,1.85,0.62,16.0,0.71,6.0,0.26,37.5,0.0,0.0,0.0,0.0,0.0,77.56,37.5,0.38,0.49,11.0,0.0,0.0,0.38,0.49,11.0,2.0,2.56,58.0,1.0,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,1.0,0.0,12.5,28.0,0.97,1.24,1.06,0.83,24.0,13.0,0.57,6.89,5.38,156.0,98.0,4.33,3.38,62.82,5.0,0.22,19.05,8.0,0.28,0.35,0.0
57,Ben Davies,30,24/04/1993,Premier League,2022/2023,Defender,Tottenham Hotspur,Wales,6.37,2289,1095,1194,31,15,16,2,1,1,2,1,1,0,0,10,6,4,32,11,21,4,0,0.16,0.08,0.08,0.08,0.08,1145,1.26,72,74,572,1145,0.16,6.37,0.06,46.18,37.7,1131.0,31.4,942.0,38.47,0.67,20.0,1.13,1.27,1.03,31.0,0.17,0.0,0.63,0.17,0.0,6.5,0.53,0.27,0.4,0.17,2.17,13.0,0.43,5.0,0.2,8.0,0.33,19.0,0.78,34.0,1.39,0.82,12.0,0.49,5.0,0.2,41.67,0.0,0.0,0.0,0.0,0.0,83.29,38.46,0.4,0.49,12.0,0.0,0.0,0.27,0.33,8.0,2.2,2.7,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,1.0,0.0,15.38,15.0,0.5,0.61,1.18,0.97,29.0,65.0,2.65,9.07,7.4,222.0,116.0,4.74,3.87,52.25,5.0,0.2,23.53,8.0,0.27,0.33,0.0
63,Ben Mee,34,21/09/1989,Premier League,2022/2023,Defender,Brentford,England,7.16,3272,1702,1570,37,19,18,3,3,0,1,1,0,0,0,12,7,5,36,17,19,2,0,0.11,0.03,0.08,0.16,0.0,1091,0.99,91,88,1636,3272,0.06,7.16,0.03,45.47,44.63,1562.0,34.31,1201.0,34.96,0.17,6.0,0.17,1.28,1.26,44.0,0.09,0.0,1.31,0.29,0.0,8.33,0.73,0.51,0.31,0.2,3.46,25.0,0.71,7.0,0.2,18.0,0.52,46.0,1.34,6.0,0.17,0.17,11.0,0.32,10.0,0.29,90.91,0.0,0.0,0.0,0.0,0.0,76.89,28.0,0.31,0.32,11.0,0.0,0.0,1.17,1.19,41.0,3.26,3.32,114.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,0.03,0.0,0.0,0.0,0.03,0.03,1.0,0.0,12.0,13.0,0.37,0.38,0.41,0.4,14.0,121.0,3.52,9.02,8.86,310.0,188.0,5.47,5.37,60.65,3.0,0.09,16.67,1.0,0.03,0.03,0.0
65,Ben White,26,08/10/1997,Premier League,2022/2023,Defender,Arsenal,England,6.94,3067,1475,1592,38,19,19,2,2,0,5,3,2,0,0,14,4,10,33,18,15,5,0,0.21,0.15,0.06,0.12,0.0,1534,0.97,93,81,613,613,0.15,6.94,0.13,56.77,50.89,1934.0,44.05,1674.0,49.14,0.71,27.0,1.5,1.76,1.58,60.0,0.21,0.0,0.55,0.18,0.0,4.0,0.23,0.13,0.58,0.08,0.89,8.0,0.21,3.0,0.09,5.0,0.15,21.0,0.62,57.0,1.67,0.79,22.0,0.65,7.0,0.21,31.82,0.0,0.0,0.0,0.0,0.0,86.56,37.5,0.66,0.73,25.0,0.0,0.0,0.29,0.32,11.0,1.95,2.17,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,1.0,0.0,25.0,30.0,0.79,0.88,0.82,0.74,28.0,34.0,1.0,7.22,6.47,246.0,131.0,3.85,3.45,53.25,8.0,0.23,26.32,15.0,0.39,0.44,0.0
67,Bernardo Silva,29,10/08/1994,Premier League,2022/2023,Midfielder,Manchester City,Portugal,6.94,2203,1147,1056,34,18,16,4,2,2,5,3,2,0,0,12,6,6,22,11,11,5,0,0.37,0.2,0.16,0.16,0.17,551,0.9,100,65,441,441,0.2,6.94,0.15,57.13,41.15,1399.0,36.56,1243.0,50.76,0.91,31.0,2.26,1.8,1.29,44.0,0.97,0.0,0.44,0.71,0.0,3.75,0.61,0.15,1.53,0.29,0.12,15.0,0.44,10.0,0.41,5.0,0.2,15.0,0.61,77.0,3.14,1.27,52.0,2.12,24.0,0.98,46.15,0.0,0.0,0.0,0.0,0.0,88.85,66.67,0.68,0.94,23.0,0.0,0.0,0.18,0.25,6.0,0.21,0.29,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,1.0,1.0,26.67,16.0,0.47,0.65,1.27,0.91,31.0,4.0,0.16,8.66,6.24,212.0,88.0,3.59,2.59,41.51,33.0,1.35,18.18,14.0,0.41,0.57,0.0
68,Bernd Leno,32,04/03/1992,Premier League,2022/2023,Goalkeeper,Fulham,Germany,7.09,3240,1620,1620,36,18,18,0,0,0,0,0,0,0,0,8,3,5,47,26,21,3,0,0.0,0.0,0.0,0.0,0.0,0,1.31,69,90,1080,0,0.08,7.09,0.0,32.83,32.83,1149.0,24.97,874.0,24.97,0.03,1.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,133.0,3.8,184.0,5.26,72.28,76.07,0.0,0.06,0.06,2.0,0.0,0.0,0.0,0.0,0.0,0.74,0.74,26.0,1.0,0.03,0.03,1.0,0.0,0.0,0.0,0.0,8.0,0.23,0.23,0.0,0.0,0.0,0.0,0.0,2.0,0.06,0.06,0.03,0.03,1.0,11.0,0.31,0.46,0.46,16.0,13.0,0.37,0.37,81.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Bobby Reid,31,02/02/1993,Premier League,2022/2023,Forward,Fulham,Jamaica,6.63,2486,1366,1120,36,19,17,4,2,2,1,0,1,0,0,9,3,6,37,25,12,8,0,0.18,0.04,0.14,0.13,0.16,622,1.34,67,69,311,2486,0.29,6.63,0.03,28.06,22.06,772.0,16.0,560.0,20.36,0.51,18.0,1.51,1.45,1.14,40.0,0.94,0.0,0.51,0.46,0.0,5.5,0.8,0.34,1.23,0.29,0.31,22.0,0.63,10.0,0.36,12.0,0.44,18.0,0.65,53.0,1.93,0.65,43.0,1.56,16.0,0.58,37.21,0.0,0.0,0.0,0.0,0.0,72.54,45.45,0.49,0.62,17.0,0.0,0.0,0.09,0.11,3.0,0.69,0.87,24.0,1.0,0.04,0.03,0.0,0.0,2.0,0.06,0.07,0.0,0.0,0.0,0.36,0.29,10.0,2.0,18.18,21.0,0.6,0.76,1.24,0.97,34.0,11.0,0.4,8.72,6.86,240.0,88.0,3.2,2.51,36.67,33.0,1.2,28.3,15.0,0.43,0.55,0.0
78,Brenden Aaronson,23,22/10/2000,Premier League,2022/2023,Midfielder,Leeds United,USA,6.55,2383,1235,1148,36,19,17,1,1,0,3,2,1,0,0,5,4,1,55,28,27,2,0,0.15,0.11,0.04,0.07,0.0,2383,2.08,43,66,1192,794,0.08,6.55,0.08,26.5,19.49,682.0,15.54,544.0,21.14,1.34,47.0,2.0,1.79,1.31,46.0,2.29,0.0,0.11,0.89,0.0,29.0,1.13,0.57,2.23,0.26,0.23,29.0,0.83,9.0,0.35,20.0,0.78,4.0,0.16,70.0,2.72,1.83,78.0,3.03,31.0,1.2,39.74,0.0,0.0,0.0,0.0,0.0,79.77,31.03,0.86,1.17,30.0,0.0,0.0,0.09,0.12,3.0,0.14,0.19,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.11,0.16,0.0,0.0,0.0,0.19,0.14,5.0,0.0,3.45,55.0,1.57,2.14,0.62,0.46,16.0,8.0,0.31,13.52,9.94,348.0,140.0,5.44,4.0,40.23,80.0,3.11,27.14,19.0,0.54,0.74,0.0
79,Brennan Johnson,22,23/05/2001,Premier League,2022/2023,Forward,Nottingham Forest,Wales,6.74,2941,1537,1404,38,19,19,8,7,1,3,1,2,1,2,8,6,2,52,21,31,6,0,0.34,0.09,0.24,0.41,0.06,368,1.59,57,77,490,980,0.18,6.74,0.08,13.42,11.49,425.0,7.24,268.0,8.46,0.78,29.0,1.46,1.04,0.89,33.0,0.65,0.0,0.14,0.81,0.0,5.86,1.29,0.46,1.86,0.65,0.43,41.0,1.11,24.0,0.76,17.0,0.54,5.0,0.16,54.0,1.7,0.92,69.0,2.18,30.0,0.95,43.48,0.0,0.0,0.0,0.0,0.0,63.06,58.54,0.49,0.57,18.0,1.0,1.0,0.03,0.03,1.0,0.11,0.13,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.05,0.06,0.0,0.0,0.0,0.54,0.46,17.0,1.0,17.07,19.0,0.51,0.6,1.07,0.92,34.0,16.0,0.51,8.14,6.97,258.0,98.0,3.09,2.65,37.98,24.0,0.76,16.67,9.0,0.24,0.28,0.0
