,Nombre,Edad,Fecha de nacimiento,Liga,Temporada,Posicion,Club,Nacionalidad,Calificacion,Minutos jugados totales,Minutos jugados local,Minutos jugados visita,Apariciones totales,Apariciones local,Apariciones visita,Goles totales,Goles local,Goles visita,Asistencias totales,Asistencias local,Asistencias visita,Goles penal,Penales errados,Partidos sin gol recibido totales,Partidos sin gol recibido local,Partidos sin gol recibido visita,Goles permitidos totales,Goles permitidos local,Goles permitidos visita,Tarjetas amarillas totales,Tarjetas rojas totales,Participacion en goles x cada 90 min totales,Asistencias x cada 90 min totales,Goles x cada 90 min totales,Goles x cada 90 min local,Goles x cada 90 min visita,Minutos x gol totales,Goles permitidos x cada 90 min totales,Minutos x goles permitidos totales,Minutos x partido,Minutos x tarjeta totales,Minutos x asistencia totales,Tarjetas x cada 90 min totales,Calificacion,Asistencias x partido totales,Pases x cada 90 minutos totales,Pases x juego totales,Pases totales,Pases completos x partidos totales,Pases completos totales,Pases completos x cada 90 min,Pases clave x partido totales,Pases clave totales,Centros x partido totales,Entradas x cada 90 min totales,Entradas x partido totales,Entradas totales,Balones perdidos x partido totales,Atajadas x partido totales,Intercepciones x partido totales,Regates existosos x partido totales,Tiros recibidos x partido totales,Tiros x goles anotados totales,Tiros x cada 90 min totales,Tiros desviados x partido totales,Regates x partido totales,Tiros puerta x partido totales,Duelos aereos ganados x partidos totales,Tiros totales,Tiros x partido totales,Tiros a puerta totales,Tiros puerta x cada 90 min totales,Tiros desviados totales,Tiros desviados x cada 90 min totales,Intercepciones totales,Intercepciones x cada 90 min totales,Centros totales,Centros x cada 90 min totales,Pases clave x cada 90 min totales,Regates totales,Regates x cada 90 min totales,Regates existosos totales,Regates existosos x cada 90 min totales,Porcentaje regates existosos totales,Atajadas totales,Atajadas x cada 90 min totales,Tiros recibidos totales,Tiros recibidos x cada 90 min totales,Porcentaje atajadas totales,Porcentaje pases completos totales,Porcentaje tiros precisos totales,Duelos regate perdidos x cada partido totales,Duelos regate perdidos x cada 90 min totales,Duelos regate perdidos totales,Penales anotados totales,Penales errados totales,Bloqueos x partido totales,Bloqueos x cada 90 min totales,Bloqueos totales,Despejes x partido totales,Despejes x cada 90 min totales,Despejes totales,Penales cometidos totales,Penales cometidos x cada 90 min totales,Penales cometidos x partido totales,Penales atajados totales,Penales ejecutados totales,Tiros a poste totales,Tiros a poste x partido totales,Tiros a poste x cada 90 min totales,Punetazos totales,Punetazos x partido totales,Punetazos x cada 90 min totales,Offsides x cada 90 min totales,Offsides x partido totales,Offsides totales,Penales generados totales,Tasa tiros/goles totales,Faltas recibidas totales,Faltas recibidas x partido totales,Faltas recibidas x cada 90 min totales,Faltas cometidas x cada 90 min totales,Faltas cometidas x partido totales,Faltas cometidas totales,Duelos aereos ganados totales,Duelos aereos ganados x cada 90 min totales,Duelos x cada 90 min totales,Duelos x partido totales,Duelos totales,Duelos ganados totales,Duelos ganados x cada 90 min totales,Duelos ganados x partido totales,Porcentaje duelos ganados totales,Balones perdidos totales,Balones perdidos x cada 90 min totales,Porcentaje centros precisos totales,Centros precisos totales,Centros precisos x partido totales,Centros precisos x cada 90 min totales,Hattricks totales
45,Esteban Andrada,33,26/01/1991,Liga MX,2022/2023,Goalkeeper,Monterrey,Argentina,7.35,2610,1440,1170,29,16,13,0,0,0,0,0,0,0,0,11,6,5,22,12,10,7,0,0.0,0.0,0.0,0.0,0.0,0,0.76,119,90,373,0,0.24,7.35,0.0,35.75,35.75,1001.0,28.0,784.0,28.0,0.04,1.0,0.0,0.11,0.11,3.0,0.0,3.18,0.0,0.07,4.04,0.0,0.0,0.0,0.14,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,4.0,0.14,2.0,0.07,50.0,89.0,3.18,113.0,4.04,78.76,78.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,1.11,31.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.46,0.46,0.0,0.0,0.0,0.0,0.0,9.0,0.32,0.32,0.0,0.0,0.0,14.0,0.5,1.07,1.07,30.0,27.0,0.96,0.96,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Federico Eduardo Lértora,33,05/07/1990,Liga MX,2022/2023,Midfielder,Queretaro,Argentina,7.12,2282,1102,1180,27,13,14,2,0,2,1,0,1,0,0,6,2,4,32,10,22,9,0,0.12,0.04,0.08,0.0,0.15,1141,1.26,71,85,254,2282,0.35,7.12,0.04,32.62,30.63,827.0,22.59,610.0,24.06,0.78,21.0,0.33,2.52,2.37,64.0,0.81,0.0,0.96,0.48,0.0,12.5,0.99,0.7,1.0,0.22,2.78,25.0,0.93,6.0,0.24,19.0,0.75,26.0,1.03,9.0,0.35,0.83,27.0,1.06,13.0,0.51,48.15,0.0,0.0,0.0,0.0,0.0,73.76,24.0,1.44,1.54,39.0,0.0,0.0,0.81,0.87,22.0,1.7,1.81,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.19,5.0,0.0,8.0,26.0,0.96,1.03,1.89,1.78,48.0,75.0,2.96,13.65,12.81,346.0,178.0,7.02,6.59,51.45,22.0,0.87,22.22,2.0,0.07,0.08,0.0
48,Hugo Alfonso González Durán,33,01/08/1990,Liga MX,2022/2023,Goalkeeper,Mazatlan,Mexico,7.26,2100,884,1216,24,10,14,0,0,0,0,0,0,0,0,4,3,1,36,10,26,5,0,0.0,0.0,0.0,0.0,0.0,0,1.54,58,88,420,0,0.21,7.26,0.0,32.9,32.64,718.0,23.36,514.0,23.55,0.09,2.0,0.0,0.0,0.0,0.0,0.05,3.36,0.0,0.14,5.09,0.0,0.0,0.0,0.18,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,4.0,0.18,3.0,0.14,75.0,74.0,3.39,112.0,5.13,66.07,71.59,0.0,0.05,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.23,0.23,0.0,0.0,0.0,0.0,0.0,2.0,0.09,0.09,0.0,0.0,0.0,5.0,0.23,0.55,0.55,12.0,9.0,0.41,0.41,75.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0
50,Hugo Martín Nervo,33,06/01/1991,Liga MX,2022/2023,Defender,Atlas,Argentina,7.2,2520,1170,1350,28,13,15,0,0,0,0,0,0,0,0,8,7,1,37,13,24,4,0,0.0,0.0,0.0,0.0,0.0,0,1.32,68,90,630,0,0.14,7.2,0.0,51.0,52.89,1428.0,41.78,1128.0,40.29,0.33,9.0,0.04,1.18,1.22,33.0,0.11,0.0,1.44,0.11,0.0,0.0,0.32,0.3,0.11,0.04,3.22,9.0,0.33,1.0,0.04,8.0,0.29,39.0,1.39,1.0,0.04,0.32,3.0,0.11,3.0,0.11,100.0,0.0,0.0,0.0,0.0,0.0,78.99,11.11,0.56,0.54,15.0,0.0,0.0,1.07,1.04,29.0,3.93,3.79,106.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,0.04,0.0,0.0,0.0,0.04,0.04,1.0,0.0,0.0,13.0,0.48,0.46,0.61,0.63,17.0,87.0,3.11,8.0,8.3,224.0,131.0,4.68,4.85,58.48,3.0,0.11,0.0,0.0,0.0,0.0,0.0
53,Jonathan dos Santos Ramírez,33,26/04/1990,Liga MX,2022/2023,Midfielder,America,Mexico,7.14,2386,1334,1052,32,17,15,0,0,0,1,0,1,0,0,16,9,7,19,10,9,5,0,0.04,0.04,0.0,0.0,0.0,0,0.72,126,75,477,2386,0.19,7.14,0.03,75.96,65.48,1899.0,58.59,1699.0,67.96,0.45,13.0,0.14,2.2,1.9,55.0,0.28,0.0,1.45,0.59,0.0,0.0,0.2,0.07,0.83,0.07,0.55,5.0,0.17,2.0,0.08,2.0,0.08,42.0,1.68,4.0,0.16,0.52,24.0,0.96,17.0,0.68,70.83,0.0,0.0,0.0,0.0,0.0,89.47,40.0,1.24,1.44,36.0,0.0,0.0,0.21,0.24,6.0,0.66,0.76,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.52,0.6,1.04,0.9,26.0,16.0,0.64,7.76,6.69,194.0,98.0,3.92,3.38,50.52,8.0,0.32,50.0,2.0,0.07,0.08,0.0
59,Tiago Luis Volpi,33,19/12/1990,Liga MX,2022/2023,Goalkeeper,Toluca,Brazil,7.23,2520,1260,1260,28,14,14,7,6,1,0,0,0,7,0,8,5,3,31,11,20,3,0,0.25,0.0,0.25,0.43,0.07,360,1.11,81,90,840,0,0.11,7.23,0.0,32.64,32.64,914.0,24.64,690.0,24.64,0.11,3.0,0.0,0.04,0.04,1.0,0.0,3.14,0.0,0.0,4.29,1.0,0.25,0.0,0.04,0.25,0.21,7.0,0.25,7.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.11,1.0,0.04,0.0,0.0,0.0,88.0,3.14,120.0,4.29,73.33,75.49,100.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.93,0.93,26.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,12.0,0.43,0.43,0.0,0.0,0.0,0.0,100.0,2.0,0.07,0.07,0.04,0.04,1.0,6.0,0.21,0.54,0.54,15.0,9.0,0.32,0.32,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Diego Eduardo De Buen Juárez,32,03/07/1991,Liga MX,2022/2023,Midfielder,Puebla,Mexico,7.0,2582,1322,1260,29,15,14,5,2,3,1,1,0,0,0,3,2,1,45,25,20,5,0,0.21,0.03,0.17,0.14,0.21,516,1.57,57,89,516,2582,0.17,7.0,0.03,45.61,45.11,1263.0,38.36,1074.0,38.79,0.96,27.0,0.14,1.88,1.86,52.0,0.43,0.0,1.14,0.43,0.0,5.4,0.98,0.46,0.75,0.5,1.93,27.0,0.96,14.0,0.51,13.0,0.47,32.0,1.16,4.0,0.14,0.98,21.0,0.76,12.0,0.43,57.14,0.0,0.0,0.0,0.0,0.0,85.04,51.85,0.79,0.79,22.0,0.0,0.0,0.57,0.58,16.0,2.11,2.13,59.0,1.0,0.04,0.04,0.0,0.0,1.0,0.04,0.04,0.0,0.0,0.0,0.04,0.04,1.0,0.0,18.52,24.0,0.86,0.87,0.87,0.86,24.0,54.0,1.95,8.7,8.61,241.0,142.0,5.13,5.07,58.92,12.0,0.43,25.0,1.0,0.04,0.04,0.0
65,Dieter Daniel Villalpando Pérez,32,04/08/1991,Liga MX,2022/2023,Midfielder,Juarez,Mexico,7.3,2472,1288,1184,30,16,14,3,1,2,6,5,1,0,0,6,4,2,40,20,20,5,0,0.33,0.22,0.11,0.07,0.15,824,1.46,62,82,494,412,0.18,7.3,0.2,49.37,45.2,1356.0,38.33,1150.0,41.87,1.7,51.0,2.1,1.46,1.33,40.0,1.13,0.0,0.27,1.63,0.0,15.0,1.64,0.77,2.87,0.73,0.17,45.0,1.5,22.0,0.8,23.0,0.84,8.0,0.29,63.0,2.29,1.86,86.0,3.13,49.0,1.78,56.98,0.0,0.0,0.0,0.0,0.0,84.81,48.89,1.03,1.13,31.0,0.0,0.0,0.03,0.04,1.0,0.17,0.18,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,0.04,0.0,0.0,0.0,0.11,0.1,3.0,0.0,6.67,56.0,1.87,2.04,0.58,0.53,16.0,5.0,0.18,10.38,9.5,285.0,150.0,5.46,5.0,52.63,34.0,1.24,30.16,19.0,0.63,0.69,0.0
69,Javier Güemez López,32,17/10/1991,Liga MX,2022/2023,Midfielder,Atletico San Luis,Mexico,7.07,2729,1481,1248,32,17,15,3,2,1,2,2,0,0,0,8,5,3,44,23,21,6,1,0.16,0.07,0.1,0.12,0.07,910,1.45,62,85,455,1365,0.2,7.07,0.06,68.83,65.22,2087.0,55.69,1782.0,58.77,0.97,31.0,0.25,1.78,1.69,54.0,0.78,0.0,0.38,0.62,0.0,7.67,0.76,0.47,1.09,0.25,0.88,23.0,0.72,8.0,0.26,15.0,0.49,12.0,0.4,8.0,0.26,1.02,35.0,1.15,20.0,0.66,57.14,0.0,0.0,0.0,0.0,0.0,85.39,34.78,0.75,0.79,24.0,0.0,0.0,0.41,0.43,13.0,1.16,1.22,37.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.04,47.0,1.47,1.55,0.89,0.84,27.0,28.0,0.92,8.81,8.34,267.0,148.0,4.88,4.62,55.43,25.0,0.82,25.0,2.0,0.06,0.07,0.0
73,Julio José González Vela-Alvizu,32,23/04/1991,Liga MX,2022/2023,Goalkeeper,Pumas UNAM,Mexico,7.15,2880,1440,1440,32,16,16,0,0,0,0,0,0,0,0,10,8,2,36,10,26,5,0,0.0,0.0,0.0,0.0,0.0,0,1.13,80,90,576,0,0.16,7.15,0.0,25.97,25.97,831.0,17.03,545.0,17.03,0.09,3.0,0.0,0.03,0.03,1.0,0.03,3.03,0.06,0.03,4.22,0.0,0.0,0.0,0.03,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06,0.0,0.0,0.09,1.0,0.03,1.0,0.03,100.0,97.0,3.03,135.0,4.22,71.85,65.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,1.47,47.0,3.0,0.09,0.09,2.0,0.0,0.0,0.0,0.0,16.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,5.0,0.16,0.16,0.12,0.12,4.0,10.0,0.31,0.72,0.72,23.0,17.0,0.53,0.53,73.91,1.0,0.03,0.0,0.0,0.0,0.0,0.0
